Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Adegamáe Pinta Negra Branco;426.9;3;13;0.09135629
Mosaic Alvarinho 2017;426.9;3;13;0.09135629
Marqués de Concordia Tempranillo 2015;110.9;0.75;13.5;0.091298467
Bayanegra Tempranillo 2016;98.6;0.75;12;0.09127789
Piccini Rosso Toscana 2016;284.9;2;13;0.091260091
Belgravia London Dry Gin;287.9;0.7;37.5;0.091177492
My World Australia Shiraz Cabernet Sauvignon;394.9;3;12;0.09116232
Zensa Primitivo 2015;445;3;13.5;0.091011236
Ole Smoky Margarita Moonshine;109.9;0.5;20;0.090991811
Kirow Rent Brennevin 60%;329.9;0.5;60;0.090936647
Il Roccolo Chianti 2015;99;0.75;12;0.090909091
Monocolo Corvina;429;3;13;0.090909091
Chapel Hill Riesling Sauvignon Blanc 2017;379.9;3;11.5;0.090813372
Lindeman's Chardonnay 2017;379.9;3;11.5;0.090813372
Weinhaus der Stadt Mainz 2017;379.9;3;11.5;0.090813372
Inverness Cream;308.5;0.7;40;0.09076175
Giovanni Barcelli Barbera;429.9;3;13;0.090718772
Umani Ronchi Tajano Rosso Piceno 2016;429.9;3;13;0.090718772
Tabiso Chardonnay;429.9;3;13;0.090718772
Tommasi Poggio al Tufo Rompicollo 2015;429.9;3;13;0.090718772
Castillo de Jumilla Monastrell 2016;119.9;0.75;14.5;0.090700584
Alain Brumont Torus 2011;119.9;0.75;14.5;0.090700584
Gosa Monastrell;119.9;0.75;14.5;0.090700584
Boretti Frappato;430;3;13;0.090697674
Dworek Vodka;206.9;0.5;37.5;0.09062349
Roodeberg 2016;463.6;3;14;0.090595341
Arctic Distilled Gin;289.9;0.7;37.5;0.090548465
Kalinka London Dry;289.9;0.7;37.5;0.090548465
Giordano Chardonnay Salento 2016;414.9;3;12.5;0.090383225
RealZin Zinfandel 2016;107.9;0.75;13;0.090361446
Escada Touriga Nacional 2016;107.9;0.75;13;0.090361446
Cuvée Christer Berens M d'A;415;3;12.5;0.090361446
Fredag Rødvin 2015;415;3;12.5;0.090361446
Dunavár Chardonnay 2017;99.9;0.75;12;0.09009009
Hereford 2016;99.9;0.75;12;0.09009009
Astica Tempranillo Malbec 2017;99.9;0.75;12;0.09009009
Portuga 2016;99.9;0.75;12;0.09009009
Rosemount Meal Matcher Sauvignon Blanc 2015;99.9;0.75;12;0.09009009
i heart Rosé;99.9;0.75;12;0.09009009
Il Falchetto Ajman Monferrato Ciaret 2016;99.9;0.75;12;0.09009009
Paxis Arinto 2017;99.9;0.75;12;0.09009009
Piccolo Soave 2016;99.9;0.75;12;0.09009009
Giacondi Pinot Grigio;99.9;0.75;12;0.09009009
Beringer Stone Cellars Zinfandel 2015;124.9;0.75;15;0.090072058
Pardon my French Cabernet Sauvignon;199.9;1.5;12;0.090045023
Coronas 2009;224.9;1.5;13.5;0.090040018
Dal Nostro Giardino Piemonte Rosato 2017;299.9;2.25;12;0.09003001
Pardon my French Cotes du Gascogne 2017;349.9;3;10.5;0.090025722
Aalborg Taffel Akvavit;349.9;0.7;45;0.090025722
Hvit Hagevin Arne & Carlos 2016;399.9;3;12;0.090022506
Zanni Soave 2017;399.9;3;12;0.090022506
Ca' Mutti Cantina di Soave 2017;399.9;3;12;0.090022506
